userid,username,password,gender,region
220001,张伟,111111,1,河北
220002,王芳,111111,0,陕西
220003,刘伟,111111,1,西藏
220004,张敏,111111,0,四川
220005,李伟,111111,1,重庆
220006,王静,111111,0,云南
220007,王勇,111111,1,贵州
220008,李静,111111,0,江西
220009,郑磊,111111,1,河南
220010,王燕,111111,0,山东
220011,孟浩,111111,1,北京
220012,王秀英,111111,0,上海
220013,陈建平,111111,1,江苏
220014,王玉珍,111111,0,浙江
220015,胡志明,111111,1,江苏
220016,刘红梅,111111,0,浙江
220017,李建平,111111,1,安徽
220018,季欣怡,111111,0,安徽
220019,彭国华,111111,1,江苏
220020,吴桂秀,111111,0,安徽
220021,一身都是月,111111,1,浙江
220022,风软一江水,111111,0,安徽
220023,犹怜草木青,111111,1,安徽
220024,灭烛怜光满,111111,0,江苏
220025,长安一片月,111111,1,安徽
220026,可怜今夕月,111111,0,安徽
220027,无心爱良夜,111111,1,安徽
220028,吹不散眉弯,111111,0,江苏
220029,我亦飘零久,111111,1,安徽
220030,两鬓可怜青,111111,0,浙江
